update,total_env_steps,actor_loss,critic_loss,mean_return,actor_gn,critic_gn,horizon,stage,dist,rolling_ret,elapsed_min
0,16384,14.7807,9.19633,-14.781,6.9299,0.8957,8,0,1.5,-4.847,-1.9304,0.33
25,425984,14.49819,7.22561,-14.498,2.3217,7.6053,8,0,1.5,-2.721,-1.8895,0.47
50,940032,15.68939,7.42937,-15.689,1.4682,11.3899,9,0,1.5,-2.088,-1.8297,0.6
75,1556480,18.01287,8.81142,-18.013,6.2639,3.1349,10,0,1.5,-1.921,-1.9105,0.74
100,2275328,18.25453,7.22417,-18.255,4.7348,6.6632,11,0,1.5,-1.856,-1.7679,0.88
125,3096576,19.50614,7.50564,-19.506,4.5554,10.0188,12,0,1.5,-1.808,-1.7384,1.02
150,4020224,21.82574,11.45498,-21.826,3.763,14.7148,13,0,1.5,-1.782,-1.8172,1.16
175,4685824,21.11132,12.44742,-21.111,3.6451,3.3726,13,0,1.5,-1.774,-1.752,1.29
200,5763072,22.04976,16.80094,-22.05,7.6508,5.0647,14,0,1.5,-1.757,-1.714,1.43
225,6942720,23.29738,22.11029,-23.297,5.3784,12.397,15,0,1.5,-1.733,-1.7047,1.57
250,8224768,24.37759,28.09414,-24.378,5.3772,3.2991,16,0,1.5,-1.699,-1.6907,1.71
275,9609216,25.28827,33.33287,-25.288,6.6005,25.4494,17,0,1.5,-1.677,-1.6614,1.85
300,11096064,28.32158,38.62399,-28.322,72.5465,35.2851,18,0,1.5,-1.679,-1.7884,1.99
325,12017664,27.06916,41.84341,-27.069,19.3819,29.1805,18,0,1.5,-1.692,-1.7028,2.12
350,13658112,28.79943,47.55071,-28.799,16.38,7.0168,19,0,1.5,-1.686,-1.744,2.26
375,15400960,28.75047,48.04971,-28.75,5.4892,7.2898,20,0,1.5,-1.672,-1.6579,2.4
400,17246208,29.76958,55.80667,-29.77,26.4707,5.9271,21,0,1.5,-1.668,-1.6511,2.54
425,19193856,31.25297,59.50696,-31.253,17.751,20.0328,22,0,1.5,-1.661,-1.6735,2.68
450,21243904,32.60215,63.62495,-32.602,5.3048,14.487,23,0,1.5,-1.659,-1.686,2.82
475,22421504,31.08418,69.79802,-31.084,17.1021,8.9622,23,0,1.5,-1.664,-1.6129,2.95
500,24625152,33.58485,75.41425,-33.585,28.1947,8.4346,24,0,1.5,-1.674,-1.6963,3.09
525,26931200,34.83117,72.97124,-34.831,12.1812,9.9592,25,0,1.5,-1.692,-1.6947,3.23
550,29339648,35.35789,82.87278,-35.358,14.9325,13.2603,26,0,1.5,-1.684,-1.6878,3.37
575,31850496,36.23502,85.23868,-36.235,3.4581,11.2149,27,0,1.5,-1.681,-1.6859,3.51
600,34463744,38.00716,88.96491,-38.007,45.4824,12.463,28,0,1.5,-1.685,-1.732,3.65
625,35897344,37.45111,89.13386,-37.451,69.2455,51.5686,28,0,1.5,-1.688,-1.7136,3.79
650,38664192,37.69814,85.1126,-37.698,33.328,24.8222,29,0,1.5,-1.693,-1.6637,3.92
675,41533440,39.79953,88.38206,-39.8,89.0156,19.1885,30,0,1.5,-1.699,-1.7278,4.06
700,44505088,40.18964,87.72049,-40.19,64.3146,17.6853,31,0,1.5,-1.688,-1.7152,4.2
725,47579136,112.26438,89.46477,-112.264,8.5426,12.7295,32,0,1.5,-1.683,-1.6775,4.34
750,49217536,108.67036,92.65936,-108.67,12.2713,19.1403,32,0,1.5,-1.693,-1.6974,4.48
775,50855936,112.61615,82.05669,-112.616,49.6702,8.671,32,0,1.5,-1.69,-1.6642,4.62
800,52494336,110.79598,84.63132,-110.796,33.089,31.22,32,0,1.5,-1.696,-1.6771,4.76
825,54132736,107.30019,92.48378,-107.3,27.7317,19.6825,32,0,1.5,-1.693,-1.6682,4.89
850,55771136,107.18636,87.86749,-107.186,38.379,17.2221,32,0,1.5,-1.69,-1.6876,5.03
875,57409536,108.43431,84.60094,-108.434,26.3633,10.1639,32,0,1.5,-1.68,-1.7207,5.17
900,59047936,107.40199,85.37727,-107.402,57.6817,15.1388,32,0,1.5,-1.681,-1.6982,5.31
925,60686336,108.1846,80.75421,-108.185,12.3933,15.8434,32,0,1.5,-1.678,-1.6916,5.45
950,62324736,108.36048,79.82492,-108.36,19.0973,7.9201,32,0,1.5,-1.678,-1.6673,5.59
975,63963136,105.4037,82.79737,-105.404,24.7059,11.4569,32,0,1.5,-1.683,-1.6846,5.73
